personId,machineId,gender,age,attendanceTime,attentionTime,date
441,1,F,24,2,1,11/12/2015 18:44
442,1,F,58,3,1,11/12/2015 18:45
443,1,F,58,4,3,11/12/2015 18:45
444,1,F,33,3,2,11/12/2015 18:45
445,1,M,58,1,0,11/12/2015 18:45
446,1,F,24,4,4,11/12/2015 18:45
447,1,F,16,8,6,11/12/2015 18:45
448,1,F,33,10,9,11/12/2015 18:46
449,1,F,58,1,0,11/12/2015 18:50
450,1,F,58,1,1,11/12/2015 18:51
451,1,F,33,1,0,11/12/2015 18:53
452,1,M,24,5,3,11/12/2015 19:03
453,1,M,24,5,3,11/12/2015 19:03
454,1,M,24,2,1,11/12/2015 19:03
455,1,M,16,2,0,11/12/2015 19:03
456,1,M,16,1,0,11/12/2015 19:03
457,1,M,24,4,3,11/12/2015 19:03
458,1,M,24,2,0,11/12/2015 19:04
459,1,M,24,3,1,11/12/2015 19:04
460,1,M,24,4,1,11/12/2015 19:04
461,1,M,24,5,2,11/12/2015 19:04
462,1,M,24,1,0,11/12/2015 19:05
463,1,M,33,1,0,11/12/2015 19:05
464,1,M,24,1,0,11/12/2015 19:06
465,1,F,33,1,0,11/12/2015 19:06
466,1,M,16,2,0,11/12/2015 19:06
467,1,F,33,4,2,11/12/2015 19:06
468,1,M,24,2,1,11/12/2015 19:06
469,1,F,24,5,4,11/12/2015 19:06
470,1,M,6,5,5,11/12/2015 19:06
471,1,F,24,2,1,11/12/2015 19:07
472,1,M,33,2,1,11/12/2015 19:07
473,1,M,24,1,0,11/12/2015 19:07
474,1,M,33,1,0,11/12/2015 19:14
475,1,M,24,2,1,11/12/2015 19:14
476,1,M,24,3,1,11/12/2015 19:14
477,1,M,33,1,0,11/12/2015 19:14
478,1,M,6,1,0,11/12/2015 19:14
479,1,M,33,2,0,11/12/2015 19:14
480,1,M,70,2,1,11/12/2015 19:16
481,1,M,33,2,1,11/12/2015 19:16
482,1,M,58,1,0,11/12/2015 19:16
483,1,M,33,4,2,11/12/2015 19:16
484,1,M,24,1,0,11/12/2015 19:17
485,1,M,24,1,0,11/12/2015 19:17
486,1,F,16,4,2,11/12/2015 19:21
487,1,F,6,4,2,11/12/2015 19:21
488,1,M,6,6,1,11/12/2015 19:21
489,1,F,16,3,2,11/12/2015 19:21
490,1,M,24,2,1,11/12/2015 19:21
491,1,M,24,2,0,11/12/2015 19:22
492,1,M,33,4,3,11/12/2015 19:22
493,1,M,24,3,2,11/12/2015 19:22
494,1,M,24,1,0,11/12/2015 19:38
495,1,F,24,8,7,11/12/2015 19:38
496,1,M,24,9,2,11/12/2015 19:39
497,1,F,24,8,7,11/12/2015 19:39
498,1,F,24,4,3,11/12/2015 19:39
499,1,M,24,5,3,11/12/2015 19:39
500,1,F,24,4,3,11/12/2015 19:39
501,1,M,6,2,1,11/12/2015 19:39
502,1,F,6,2,0,11/12/2015 19:39
503,1,F,33,9,8,11/12/2015 19:39
504,1,F,33,12,12,11/12/2015 19:39
505,1,F,24,1,0,11/12/2015 19:43
506,1,F,24,6,4,11/12/2015 19:43
507,1,F,24,4,2,11/12/2015 19:43
508,1,F,24,5,5,11/12/2015 19:43
509,1,F,58,3,1,11/12/2015 19:43
510,1,F,33,2,1,11/12/2015 19:43
511,1,M,24,4,1,11/12/2015 19:45
512,1,M,24,2,1,11/12/2015 19:47
513,1,M,24,2,2,11/12/2015 19:47
514,1,M,33,5,2,11/12/2015 19:47
515,1,M,33,1,0,11/12/2015 19:47
516,1,F,70,1,0,11/12/2015 19:54
517,1,M,58,8,4,11/12/2015 19:55
518,1,M,33,7,3,11/12/2015 19:55
519,1,M,33,8,4,11/12/2015 19:55
520,1,M,58,2,1,11/12/2015 19:56
521,1,F,6,2,0,11/12/2015 19:58
522,1,F,24,3,1,11/12/2015 19:58
523,1,F,24,3,2,11/12/2015 19:58
524,1,M,58,1,0,11/12/2015 19:58
525,1,F,24,4,2,11/12/2015 19:58
526,1,F,24,4,1,11/12/2015 19:59
527,1,M,24,2,1,11/12/2015 19:59
528,1,F,24,4,3,11/12/2015 19:59
529,1,M,6,2,1,11/12/2015 19:59
530,1,F,33,3,1,11/12/2015 19:59
531,1,F,24,2,1,11/12/2015 19:59
532,1,M,24,2,1,11/12/2015 19:59
533,1,F,70,8,3,11/12/2015 19:59
534,1,M,24,3,2,11/12/2015 19:59
535,1,M,33,3,2,11/12/2015 20:00
536,1,M,33,1,0,11/12/2015 20:00
537,1,M,33,2,1,11/12/2015 20:00
538,1,M,24,4,1,11/12/2015 20:04
539,1,M,24,4,1,11/12/2015 20:04
540,1,M,24,1,0,11/12/2015 20:04
541,1,F,24,10,8,11/12/2015 20:05
542,1,F,24,9,8,11/12/2015 20:05
543,1,F,24,16,15,11/12/2015 20:05
544,1,F,24,4,1,11/12/2015 20:06
545,1,F,24,3,1,11/12/2015 20:06
546,1,F,24,4,1,11/12/2015 20:06
547,1,F,24,15,14,11/12/2015 20:06
548,1,F,6,2,1,11/12/2015 20:06
549,1,F,24,7,6,11/12/2015 20:06
550,1,F,24,11,10,11/12/2015 20:06
551,1,F,24,52,0,11/12/2015 20:07
552,1,M,24,3,1,11/12/2015 20:09
553,1,M,58,1,0,11/12/2015 20:09
554,1,M,24,4,2,11/12/2015 20:10
555,1,F,33,1,0,11/12/2015 20:10
556,1,F,58,6,4,11/12/2015 20:10
557,1,F,24,7,5,11/12/2015 20:10
558,1,M,33,5,3,11/12/2015 20:10
559,1,M,24,7,4,11/12/2015 20:10
560,1,F,24,4,2,11/12/2015 20:11
561,1,F,24,4,3,11/12/2015 20:11
562,1,F,58,3,2,11/12/2015 20:12
563,1,M,70,2,1,11/12/2015 20:12
564,1,F,6,3,0,11/12/2015 20:19
565,1,M,24,4,2,11/12/2015 20:20
566,1,M,24,1,0,11/12/2015 20:21
567,1,M,24,1,0,11/12/2015 20:21
568,1,M,6,3,1,11/12/2015 20:21
569,1,F,24,1,0,11/12/2015 20:21
570,1,M,33,2,0,11/12/2015 20:25
571,1,F,33,1,0,11/12/2015 20:27
572,1,F,24,5,4,11/12/2015 20:28
573,1,M,24,1,0,11/12/2015 20:28
574,1,F,24,8,7,11/12/2015 20:28
575,1,M,24,3,1,11/12/2015 20:28
576,1,M,6,2,1,11/12/2015 20:28
577,1,M,16,2,1,11/12/2015 20:28
578,1,F,33,4,3,11/12/2015 20:34
579,1,F,33,4,3,11/12/2015 20:34
580,1,F,33,1,0,11/12/2015 20:34
581,1,F,33,3,1,11/12/2015 20:37
582,1,F,24,3,2,11/12/2015 20:37
583,1,M,24,1,0,11/12/2015 20:37
584,1,F,33,1,0,11/12/2015 20:37
585,1,F,33,1,0,11/12/2015 20:37
586,1,F,24,5,4,11/12/2015 20:37
587,1,F,33,1,0,11/12/2015 20:37
588,1,M,6,3,1,11/12/2015 20:39
589,1,M,33,4,3,11/12/2015 20:39
590,1,M,24,2,1,11/12/2015 20:41
591,1,M,24,1,0,11/12/2015 20:41
592,1,M,24,3,1,11/12/2015 20:41
593,1,M,24,1,0,11/12/2015 20:41
